Игрок,Команда,AB,H,BA
Adames W.,TAM,3,1,.222
Arozarena R.,TAM,4,1,.200
Barnes A.,LAD,3,1,.125
Bellinger C.,LAD,4,1,.182
Betts M.,LAD,5,2,.333
Choi Ji-Man,TAM,4,0,.143
Hernandez E.,LAD,1,0,.250
Kiermaier K.,TAM,2,0,.222
Lowe B.,TAM,4,0,.154
Margot M.,TAM,3,1,.400
Meadows A.,TAM,4,1,.222
Muncy M.,LAD,4,2,.364
Pederson J.,LAD,3,1,.167
Seager C.,LAD,3,1,.333
Taylor C.,LAD,4,0,.273
Tsutsugo Y.,TAM,1,0,.000
Turner J.,LAD,5,2,.308
Wendle J.,TAM,3,0,.200
Zunino M.,TAM,2,0,.000
Perez M.,TAM,0,0,.000
Smit U.,LAD,4,0,.154
