Игрок,Команда,AB,H,BA
Adames W.,TAM,4,0,.176
Arozarena R.,TAM,4,1,.333
Barnes A.,LAD,2,0,.100
Bellinger C.,LAD,4,1,.158
Betts M.,LAD,5,1,.227
Brosseau M.,TAM,0,0,.400
Choi Ji-Man,TAM,0,0,.143
Diaz Y.,TAM,3,2,.364
Hernandez E.,LAD,1,0,.222
Kiermaier K.,TAM,3,2,.375
Lowe B.,TAM,4,0,.143
Margot M.,TAM,3,2,.400
Meadows A.,TAM,2,0,.154
Muncy M.,LAD,3,2,.389
Pederson J.,LAD,2,1,.400
Renfroe H.,TAM,1,0,.143
Seager C.,LAD,3,1,.471
Taylor C.,LAD,4,0,.200
Tsutsugo Y.,TAM,1,0,.000
Turner J.,LAD,4,0,.364
Wendle J.,TAM,4,0,.133
Zunino M.,TAM,2,0,.000
Perez M.,TAM,0,0,.000
Smit U.,LAD,4,0,.143
