Игрок,Команда,AB,H,BA
Adames W.,TAM,4,1,.231
Arozarena R.,TAM,4,3,.357
Bellinger C.,LAD,4,0,.133
Betts M.,LAD,5,0,.235
Brosseau M.,TAM,2,1,.400
Choi Ji-Man,TAM,0,0,.143
Diaz Y.,TAM,3,0,.250
Hernandez E.,LAD,4,1,.250
Kiermaier K.,TAM,4,2,.308
Lowe B.,TAM,4,1,.176
Margot M.,TAM,2,0,.333
Meadows A.,TAM,2,0,.182
Muncy M.,LAD,4,1,.333
Pederson J.,LAD,2,2,.375
Phillips B.,TAM,1,1,1.000
Pollock A.,LAD,2,1,.250
Renfroe H.,TAM,4,1,.167
Seager C.,LAD,5,4,.500
Taylor C.,LAD,5,1,.250
Tsutsugo Y.,TAM,1,0,.000
Turner J.,LAD,5,4,.444
Wendle J.,TAM,1,0,.182
Zunino M.,TAM,2,0,.000
Smit U.,LAD,4,1,.176
